Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Topic,Subtopic
What is the loan tenure?,The monthly payment amount,The time period over which you repay the loan,The fees charged by the lender,The amount of interest charged,B,Easy,Basics of Loans,Loan Fundamentals
What is a default on a loan?,Successfully repaying your loan,Early repayment of the loan,Failure to make required loan payments,A discount offered by the lender,C,Easy,Basics of Loans,Repayment Obligations
Where can you borrow money safely in India?,Unlicensed money lenders at high rates,Only from friends and family without any agreement,"Banks, NBFCs regulated by RBI, or government microfinance programs (better than local moneylenders)",There is nowhere safe to borrow,C,Easy,Basics of Loans,Safe Borrowing Options
What is installment credit?,A loan that grows over time,Borrowing a fixed amount paid back in equal installments,Credit given only for emergencies,A credit card with no interest,B,Easy,Basics of Loans,Types of Loans
What is a loan?,Money borrowed from a lender that must be repaid with interest,Money given as a gift,Money saved in a bank account,Money earned from a job,A,Easy,Basics of Loans,Loan Fundamentals
Which of these is a type of loan?,Monthly salary,Inheritance,Car loan,Investment return,C,Easy,Basics of Loans,Types of Loans
What is interest on a loan?,A fee charged only once,The extra money you pay back for borrowing,Money given by the lender as a bonus,The amount of money you borrow,B,Easy,Basics of Loans,Loan Costs
What is a grace period on a loan?,A one-time fee waiver,Extra time before you need to make a payment,A period where no interest accrues,A discount on your interest rate,B,Easy,Basics of Loans,Loan Costs
What is revolving credit?,"Credit you use, pay back, and can use again",A loan that automatically renews,Emergency credit for crises,Credit given only once,A,Medium,Basics of Loans,Types of Loans
What happens if you fail to repay a loan?,Your credit score decreases and you may face legal action,You get a bonus from the bank,Nothing happens,You can borrow more money,A,Medium,Basics of Loans,Repayment Obligations
What is a repayment schedule?,A list of your favorite TV shows,A plan showing when and how much you pay back each month,A discount on your loan,A type of loan,B,Medium,Basics of Loans,Loan Fundamentals
What is the principal amount in a loan?,The interest paid each month,The total amount repaid,The fee charged by the bank,The original amount of money borrowed,D,Medium,Basics of Loans,Loan Fundamentals
What should you consider before taking a loan?,The color of the loan officer's office,Nothing - just borrow and worry later,"Interest rate, loan tenure, and whether you can afford monthly EMI payments",Only how much money you need,C,Medium,Basics of Loans,Practical Borrowing Tips
What does EMI stand for?,Equal Money Investment,Extra Monthly Income,Equated Monthly Installment,Emergency Medical Insurance,C,Medium,Basics of Loans,Loan Costs
What is loan refinancing?,Paying off your loan early,Adding more money to your existing loan,"Replacing an existing loan with a new one, usually at better terms",Negotiating with your lender for a discount,C,Medium,Basics of Loans,Loan Costs
What happens to your collateral if you don't repay a loan?,The bank keeps it forever with no reason,The bank can take it and sell it to recover the money you owe,You get to keep it anyway,The bank gives you more money,B,Hard,Basics of Loans,Repayment Obligations
What is an unsecured loan?,A loan that doesn't require collateral,A loan without a lender,A loan with very low interest,A loan that can be stolen,A,Hard,Basics of Loans,Types of Loans
What are the consequences of defaulting on a loan?,You can borrow more money,Nothing happens,You get a prize from the bank,"Damaged credit score, legal action, asset seizure, and difficulty getting future loans",D,Hard,Basics of Loans,Repayment Obligations
What is a secured loan?,A loan that doesn't need repayment,A loan backed by collateral like a house or car,A loan with no interest,A loan that is guaranteed to be approved,B,Hard,Basics of Loans,Types of Loans
What happens to your loan if the lender goes bankrupt?,Your loan is forgiven,Loan transfers to another institution,The loan is cancelled immediately,You no longer owe anything,B,Hard,Basics of Loans,Repayment Obligations
What is a hard inquiry on your credit?,When you check your own credit score,A dispute on your credit file,A negative mark on your report,When a lender pulls your credit report for a loan application,D,Medium,Credit Scores,Building Credit
What is the main factor that affects your credit score?,Your educational qualification,Your payment history,Your favorite color,Your height and weight,B,Medium,Credit Scores,Building Credit
How long does negative information stay on your credit report?,3 years,5-7 years typically,Permanently,1 year,B,Medium,Credit Scores,Building Credit
How can you improve your credit score?,Borrow more money,Change your name or address,"Pay your bills on time, reduce debt, and maintain low credit utilization",Spend more money on credit cards,C,Hard,Credit Scores,Building Credit
How does your income affect loan approval?,Only wealthy people get approved,Income does not matter for loans,Lenders never verify income,Lenders check your income and stability to know if you can repay,D,Easy,Factors Other Than Credit,Practical Approval Factors
What should you do if you can't make a loan payment?,Ignore it and hope it goes away,Contact your lender immediately to discuss options,File for bankruptcy immediately,Borrow money from informal sources,B,Easy,Factors Other Than Credit,Improvement Strategies
What should you do if your loan application is rejected?,Apply to multiple banks at once,"Ask for feedback, work on improving your credit, and reapply later",Borrow money from informal sources,Give up and stop trying,B,Easy,Factors Other Than Credit,Improvement Strategies
What is the impact of a steady job on loan approval?,It decreases your chances of approval,It has no impact on loan approval,It only matters if you have a credit card,It increases your chances of loan approval as it shows income stability,D,Easy,Factors Other Than Credit,Personal Circumstances
What other factors besides credit score can affect loan approval?,Your social media followers,"Employment stability, income level, and existing debts",Your favorite food,Your pet's name,B,Medium,Factors Other Than Credit,Personal Circumstances
Why is bank account history important for loan approval?,It determines your age and identity,"It shows your financial behavior, stability, and ability to manage money - important for gig workers and daily wage earners",It proves you own a house,It shows how many friends you have,B,Medium,Factors Other Than Credit,Financial Situation
What role does savings history play in loan approval?,It has no relevance to loan approval,It only matters if you have never borrowed before,It demonstrates financial discipline and ability to manage money,It increases the loan interest rate,C,Medium,Factors Other Than Credit,Financial Situation
What should you do if you cannot repay a loan on time?,Give up paying completely,Hide from your lender,Ignore the problem - it will go away,Contact your lender immediately to discuss options or restructuring - many lenders work with informal workers,D,Medium,Factors Other Than Credit,Practical Repayment Tips
How does your age affect loan eligibility?,Younger people always get better loan terms,Age doesn't matter at all,Older people cannot get loans,You must be of legal age and have sufficient years to repay before retirement,D,Medium,Factors Other Than Credit,Personal Circumstances
How does your existing debt affect new loan approval?,Existing debt has no impact,High existing debt makes it harder to get approved for new loans,Only recent debt matters,Existing debt helps you get approved faster,B,Medium,Factors Other Than Credit,Financial Situation
What should you do if you're struggling to pay your loan?,Give up and disappear,Contact your lender immediately to ask for help or a payment break,Borrow more money from informal lenders,Ignore it and hope it goes away,B,Medium,Factors Other Than Credit,Personal Circumstances
How can you reduce the impact of factors that negatively affect loan approval?,Borrow more money,"Build your credit, pay bills on time, save money, and reduce existing debt - proven strategy for self-employed and daily wage workers",Ignore your financial problems,Change banks frequently,B,Hard,Factors Other Than Credit,Improvement Strategies
What is a down payment and why is it important?,A monthly insurance payment,A payment made after the loan is approved,An upfront payment that reduces the loan amount and shows commitment,A fee charged by the lender,C,Hard,Factors Other Than Credit,Financial Situation
What do lenders primarily look for when evaluating a loan application?,Your political beliefs,Your credit score and payment history,Your favorite hobby,Your family size,B,Easy,What Lenders Look For,Application Requirements
Why do lenders check employment history?,To verify job stability and consistent income,To find out your hobbies,To check your education level,To verify your age,A,Easy,What Lenders Look For,Application Requirements
What is a good tool to understand loan options and calculate EMI?,"A loan calculator (from banks, fintech apps, or your financial app) shows real costs",Banks never explain loans clearly,You must guess how much you owe each month,There are no tools to help you,A,Easy,What Lenders Look For,Tools & Resources
What documents might you need for a loan application?,Only wealthy people need to provide documents,You can borrow without proving anything,No documents are ever needed,"ID proof, income documents (salary slip or IT returns), and address proof",D,Easy,What Lenders Look For,Application Requirements
What are the types of collateral commonly used?,Only real estate,Jewelry and personal items,"Real estate, vehicles, savings accounts",Only cash and gold,C,Easy,What Lenders Look For,Application Requirements
What is collateral?,A type of interest rate,A monthly payment,A bank fee,An asset pledged as security for a loan,D,Medium,What Lenders Look For,Application Requirements
What is RBI's role in protecting borrowers?,There is no protection for borrowers in India,RBI does not care about borrowers,RBI regulates banks and lenders to ensure fair practices and consumer protection,Only private banks protect borrowers,C,Medium,What Lenders Look For,Regulatory Framework
What is income verification?,Proof of your earning capacity submitted to the lender,Your savings account balance,Your employment contract,A tax receipt from last year,A,Medium,What Lenders Look For,Application Requirements
What is a loan pre-approval?,Final approval of your loan application,A discount on your loan interest rate,A guarantee that you will get the loan,A tentative approval indicating you qualify for a certain loan amount,D,Medium,What Lenders Look For,Application Requirements
What government program can help you get a small business loan?,Only large companies can get government loans,Government loans are impossible to access,PMMY (Pradhan Mantri Mudra Yojana) offers loans up to 10 lakhs for small businesses and self-employed workers,There are no government loan schemes,C,Medium,What Lenders Look For,Government Resources
What does debt-to-income ratio mean?,The total amount of debt you have,The percentage of your monthly income that goes toward debt payments,The interest rate on your debts,The number of loans you have,B,Hard,What Lenders Look For,Application Requirements
What is a personal guarantee in a business loan?,A legal document proving business ownership,A type of business insurance,A guarantee that the business will succeed,Owner's personal commitment to repay the loan if the business cannot,D,Hard,What Lenders Look For,Application Requirements
What is a co-signer on a loan?,A person who calculates the interest,A person who approves the loan,A person who witnesses the loan agreement,A person who agrees to repay the loan if the borrower cannot,D,Hard,What Lenders Look For,Application Requirements
