Question Number,Difficulty Level,Topic,Question,Option A,Option B,Option C,Correct Answer,Correct Answer Commentary,Incorrect Answer Commentary,Hint
1,Easy,Loan Basics,What is the term for the original amount of money borrowed in a loan?,Interest,Principal,Collateral,B,Right! The principal is the core amount you borrow before any interest or fees. It's the foundation of your entire loan.,The principal is actually the starting amount of money you borrow. Understanding this helps you see how interest gets calculated on top of it.,Think about the base amount before anything else is added.
2,Easy,Loan Basics,What is the cost of borrowing money called?,Principal,Loan Term,Interest,C,Exactly! Interest is what the lender charges you for lending money. It's basically the price you pay for borrowing.,Interest is the extra cost for borrowing money. The principal stays the same - interest is what gets added on top.,It's the additional amount you pay back on top of the principal.
3,Easy,Loan Basics,Which of the following is an example of collateral for a loan?,A borrower's signature,A car,A good credit score,B,"Perfect! A car is a physical asset that can secure a loan. If you don't repay, the lender can take the car.",Collateral needs to be something valuable and physical that a lender can take if you don't pay back. A signature isn't collateral - a car is.,This is a valuable asset used to secure the loan.
4,Medium,Loan Basics,What is amortization in simple terms?,The process of paying off a loan over time,A type of interest rate,A penalty for early repayment,A,Spot on! Amortization is how your loan payments are spread out over the years. Each payment chips away at what you owe.,Amortization is the schedule of payments over time. It's not a penalty or a rate - it's the plan for paying back the entire loan gradually.,It's how your loan payments are structured and spread out over the years.
5,Medium,Loan Basics,What does it mean to default on a loan?,To negotiate lower payments,To fail to repay according to the agreed terms,To refinance the loan,B,You got it! Defaulting means you've broken the loan agreement by not paying. This has serious consequences for your credit.,Defaulting is when you stop paying as promised. It's not about negotiating or refinancing - it's about breaking the agreement.,This is what happens when borrowers don't meet their payment obligations.
6,Hard,Loan Basics,In a fixed-rate loan versus a variable-rate loan over 10 years which typically costs less overall if interest rates fall?,Fixed-rate loan,Variable-rate loan,It depends on the lender,B,Great analysis! With falling rates a variable-rate loan saves you money because your rate drops. Fixed stays the same.,If rates fall the variable-rate loan becomes cheaper because your interest rate decreases over time. The fixed rate stays locked in.,Think about what happens when interest rates in the economy go down.
7,Easy,What Lenders Look For,What do lenders primarily evaluate when you apply for a loan?,Your age,Your income stability and credit history,Your marital status,B,Exactly right! Lenders care most about whether you can repay. Your income and credit history prove you're reliable.,Lenders need to know if you can actually pay the money back. Income stability and credit history show your track record.,Lenders need to know if you can repay.
8,Easy,What Lenders Look For,What is debt-to-income ratio?,Your total assets,Your monthly debt payments compared to income,Your savings account balance,B,Perfect! This ratio shows lenders how much of your income goes to debt. If it's too high you look risky.,The debt-to-income ratio is monthly debt compared to monthly income. Lenders use it to see if you're overextended with debt.,Lenders use this to see if you can afford new debt.
9,Easy,What Lenders Look For,Why do lenders check your employment history?,For curiosity,To verify income stability,To judge your personality,B,Spot on! Stable employment means reliable income. Job-hopping raises red flags for lenders.,Employment history shows lenders if your income is stable and dependable. A steady job is a huge positive sign.,Stable employment suggests reliable income.
10,Medium,What Lenders Look For,What is a co-signer and why would you need one?,Someone who pays the loan for you,Someone who agrees to be legally responsible if you default,Your accountant,B,You've got it! A co-signer takes on responsibility if you can't pay. They're vouching for you with their own credit.,A co-signer is someone with better credit who promises to repay if you don't. They're putting their reputation on the line for you.,They share the legal responsibility for the debt.
11,Medium,What Lenders Look For,How does a higher down payment affect your loan approval odds?,It decreases your chances,It increases your chances and lowers your loan amount,It has no effect,B,Right! A bigger down payment shows commitment and reduces what you need to borrow. Lenders love this.,Putting more money down upfront means you borrow less and the lender takes less risk. This makes approval more likely.,Paying more upfront reduces the amount you need to borrow.
12,Hard,What Lenders Look For,If two applicants have identical credit scores but different debt-to-income ratios which is more likely to be approved?,The one with higher DTI,The one with lower DTI,Both have equal chances,B,Great thinking! Lower DTI means more of your income is free. Lenders prefer applicants with room to pay new debt.,When DTI is lower you have more income available after current debts. This makes you a safer bet for a new loan.,Think about which person has more income left over after existing debts.
13,Easy,Credit Scores,What is the typical credit score range?,0-100,300-850,500-1000,B,Correct! Credit scores range from 300 to 850. Higher is better and above 750 is considered excellent.,The credit score scale goes from 300 to 850. Knowing this range helps you understand where you stand.,The range starts low and goes up to 850.
14,Easy,Credit Scores,What percentage of your credit score comes from payment history?,15%,35%,65%,B,Exactly! Payment history is the biggest factor in your score. Being late even once can hurt you significantly.,Payment history matters most because it shows lenders whether you actually pay as promised. This is 35% of your score.,This is the most important factor in your score.
15,Medium,Credit Scores,How long do negative items like late payments stay on your credit report?,1 year,3 years,7 years,C,You got it! Most negative items including missed payments stay for 7 years. That's why avoiding them matters so much.,Negative marks like late payments can haunt you for 7 years. This is why being diligent with payments is crucial.,Most negative items remain for this duration.
16,Medium,Credit Scores,What is credit utilization and what's considered healthy?,Using 80% of your limit,Using 30% or less of your available credit,Using 100% of your limit,B,Perfect! Keeping utilization below 30% shows you're not desperate for credit. It's one of the smartest money moves.,Credit utilization under 30% signals you're managing credit responsibly. Going higher makes you look risky to lenders.,Lenders like to see this ratio low ideally under 30%.
17,Hard,Credit Scores,If you pay off collections accounts does your credit score immediately improve?,Yes immediately,No but it helps your future creditworthiness,Scores always drop with collections,B,Smart understanding! Paying collections helps but the negative mark stays on your report. Future lenders see you paid though.,Paying off collections is good but doesn't erase the history. What matters is you're doing the right thing now for your future.,Think about whether paying off old debt erases the past.
18,Easy,Factors Beyond Credit,Besides credit score what else do lenders consider?,Your favorite color,Income employment history and debt levels,Your social media presence,B,Right! Lenders care about your financial stability beyond just your credit score. These factors paint a complete picture.,Lenders look at the whole person financially. Your job stability and existing debts matter just as much as your credit score.,Financial stability matters beyond credit.
19,Easy,Factors Beyond Credit,Why is employment stability important to lenders?,They like your job,It indicates consistent income to make payments,It's not important,B,Exactly! Steady employment means predictable income. Lenders feel confident you can handle monthly payments.,A stable job means your paycheck is reliable. This is huge for lenders deciding if you can actually repay the loan.,Steady jobs mean reliable repayment.
20,Medium,Factors Beyond Credit,What is loan-to-value ratio in a mortgage?,The price of the loan,The relationship between loan amount and the property's value,Your age,B,Perfect! LTV shows the lender how much skin in the game you have. Lower LTV means less risk for them.,LTV compares what you're borrowing to what the property is worth. A lower ratio means you have more equity and the lender takes less risk.,It shows how much risk the lender takes.
